cls,xref
DOID:571,SNOMEDCT_2010_1_31:193127001
DOID:571,ICD9CM:354.1
DOID:5052,SNOMEDCT_2010_1_31:34458001
DOID:5052,UMLS_CUI:C0025229
DOID:5052,MSH:D008554
DOID:5052,ICD9CM:025
DOID:5052,SNOMEDCT_2010_1_31:428111003
DOID:5052,SNOMEDCT_2010_1_31:187306003
DOID:366,SNOMEDCT_2010_1_31:126967000
DOID:366,NCI:C5121
DOID:366,UMLS_CUI:C0346319
DOID:2917,UMLS_CUI:C0010403
DOID:2917,SNOMEDCT_2010_1_31:30911005
DOID:2917,MSH:D003449
DOID:2917,NCI:C26736
DOID:12995,SNOMEDCT_2010_1_31:192104004
DOID:12995,UMLS_CUI:C0149654
DOID:12995,ICD9CM:312.9
DOID:12995,SNOMEDCT_2010_1_31:192597006
DOID:12995,SNOMEDCT_2010_1_31:430909002
DOID:12995,SNOMEDCT_2010_1_31:192106002
DOID:12995,MSH:D019955
DOID:12995,EFO:0004216
DOID:12995,SNOMEDCT_2010_1_31:154945001
DOID:12995,SNOMEDCT_2010_1_31:192603009
DOID:12995,SNOMEDCT_2010_1_31:268782006
DOID:12995,SNOMEDCT_2010_1_31:268785008
DOID:11997,MSH:D013088
DOID:11997,SNOMEDCT_2010_1_31:43077002
DOID:11997,SNOMEDCT_2010_1_31:49263001
DOID:11997,SNOMEDCT_2010_1_31:155936007
DOID:11997,SNOMEDCT_2010_1_31:155941004
DOID:11997,ICD9CM:608.1
DOID:11997,UMLS_CUI:C0037859
DOID:11997,NCI:C3865
DOID:12839,SNOMEDCT_2010_1_31:87232008
DOID:12839,ICD9CM:242.4
DOID:12839,SNOMEDCT_2010_1_31:190257003
DOID:12839,UMLS_CUI:C0154148
DOID:4014,NCI:C4120
DOID:4014,SNOMEDCT_2010_1_31:112676006
DOID:4014,UMLS_CUI:C0334271
DOID:7635,UMLS_CUI:C1333760
DOID:7635,NCI:C6779
DOID:9940,UMLS_CUI:C0157051
DOID:9940,ICD9CM:654.8
DOID:3055,UMLS_CUI:C0030528
DOID:3055,SNOMEDCT_2010_1_31:186092009
DOID:3055,SNOMEDCT_2010_1_31:51254007
DOID:3055,UMLS_CUI:C0343376
DOID:3055,ICD9CM:002.9
DOID:3055,MSH:D010284
DOID:3055,NCI:C34897
DOID:3055,SNOMEDCT_2010_1_31:76623002
