NCBITaxon:235  	  	# Brucella abortus
NCBITaxon:2560319	# Avian orthoavulavirus 1 (replaces 'Newcastle disease virus')
NCBITaxon:2560602	# Mumps orthorubulavirus (replaces 'Mumps rubulavirus')
NCBITaxon:263  	  	# Francisella tularensis
NCBITaxon:266068	# Rickettsia sibirica subgroup
NCBITaxon:2711  	# Citrus sinensis
NCBITaxon:27317  	# Galactomyces geotrichum
NCBITaxon:27458  	# Chrysops
NCBITaxon:27847		# Echinostoma
NCBITaxon:27973  	# Encephalitozoon hellem
NCBITaxon:28292  	# Sandfly fever Sicilian virus
NCBITaxon:28314  	# Aleutian mink disease virus
NCBITaxon:28450  	# Burkholderia pseudomallei
NCBITaxon:29031  	# Phlebotomus papatasi
NCBITaxon:29169		# Ancylostoma
NCBITaxon:29189  	# Ammonia
NCBITaxon:29459  	# Brucella melitensis
NCBITaxon:29461  	# Brucella suis
NCBITaxon:29908  	# Sporothrix schenckii
NCBITaxon:29930  	# Ixodes pacificus
NCBITaxon:299467 	# Leptotrombidium deliense
NCBITaxon:29960  	# Fenneropenaeus indicus
NCBITaxon:30639  	# Mastomys
NCBITaxon:31704  	# Human coxsackievirus A16
NCBITaxon:329110 	# Coquillettidia
NCBITaxon:333754	# Alphapapillomavirus 10
NCBITaxon:33743  	# Kyasanur forest disease virus
NCBITaxon:34105  	# Streptobacillus moniliformis
NCBITaxon:34390  	# Epidermophyton
NCBITaxon:34503		# Paragonimus
NCBITaxon:34607  	# Amblyomma cajennense
NCBITaxon:34608  	# Amblyomma hebraeum
NCBITaxon:34609  	# Amblyomma maculatum
NCBITaxon:34610  	# Amblyomma variegatum
NCBITaxon:34613  	# Ixodes ricinus
NCBITaxon:34619  	# Dermacentor
NCBITaxon:34620  	# Dermacentor andersoni
NCBITaxon:34621  	# Dermacentor variabilis
NCBITaxon:34625  	# Hyalomma
NCBITaxon:34632  	# Rhipicephalus sanguineus
NCBITaxon:35788  	# Rickettsia africae
NCBITaxon:35789  	# Rickettsia helvetica
NCBITaxon:35790  	# Rickettsia japonica
NCBITaxon:35792  	# Rickettsia parkeri
NCBITaxon:35793  	# Rickettsia sibirica
NCBITaxon:36087  	# Trichuris trichiura
NCBITaxon:36330  	# Plasmodium ovale
NCBITaxon:3656  	# Cucumis melo
NCBITaxon:36596  	# Prunus armeniaca
NCBITaxon:36826  	# Clostridium botulinum A
NCBITaxon:36827  	# Clostridium botulinum B
NCBITaxon:36830  	# Clostridium botulinum E
NCBITaxon:36831  	# Clostridium botulinum F
NCBITaxon:36855  	# Brucella canis
NCBITaxon:37020  	# Oryzomys palustris
NCBITaxon:37124		# Chikungunya virus
NCBITaxon:37162  	# Mycobacterium avium complex
NCBITaxon:37296  	# Human herpesvirus 8
NCBITaxon:3750  	# Malus domestica
NCBITaxon:3758  	# Prunus domestica
NCBITaxon:3760  	# Prunus persica
NCBITaxon:37727  	# Talaromyces marneffei
NCBITaxon:37816  	# Rickettsia honei
NCBITaxon:38323  	# Bartonella henselae
NCBITaxon:39030  	# Apodemus agrarius
NCBITaxon:39054  	# Human enterovirus 71
NCBITaxon:3981		# Hevea brasiliensis
NCBITaxon:39824  	# Klebsiella granulomatis
