source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:4325	rdfs:label	Ebola virus disease	Enfermedad por el virus del Ébola	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	1				
DOID:5363	oboInOwl:hasRelatedSynonym	mixed-type liposarcoma	liposarcoma de tipo mixto	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from DOID:5709-rdfs:label	0.98				
DOID:5703	oboInOwl:hasExactSynonym	mixed-type liposarcoma	liposarcoma de tipo mixto	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from DOID:5709-rdfs:label	0.98				
DOID:5914	oboInOwl:hasExactSynonym	nonencapsulated sclerosing carcinoma	carcinoma esclerosante no encapsulado	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.99				
DOID:6457	oboInOwl:hasExactSynonym	multiple hamartoma syndrome	síndrome de hamartoma múltiple	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasRelatedSynonym	1				
DOID:7088	oboInOwl:hasExactSynonym	columnar cell variant papillary carcinoma	carcinoma papilar variante de células columnares	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.905				
DOID:7089	oboInOwl:hasExactSynonym	tall cell variant papillary carcinoma	carcinoma papilar variante de células altas	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.98				
DOID:758	oboInOwl:hasExactSynonym	situs inversus	situs inversus	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.5				
DOID:8161	oboInOwl:hasExactSynonym	thyroid gland Hurthle cell carcinoma	carcinoma de células de Hurthle de la glándula de la tiroides	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.79				
DOID:8161	rdfs:label	oncocytic carcinoma of the thyroid	carcinoma oncocítico de tiroides	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	0.9				
DOID:9210	oboInOwl:hasExactSynonym	herpes zoster oticus	herpes zóster ótico	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	1				
DOID:9410	oboInOwl:hasExactSynonym	panhypopituitarism	panhipopituitarismo	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	1				
DOID:9410	rdfs:label	combined pituitary hormone deficiency	Deficiencia combinada de hormonas hipofisiarias	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	0.8220000000000001				
